timestamp,target_mw,predicted_mw,cv_fold
2022-01-03 17:00:00+00:00,11444.0,10388.0439453125,1
2022-01-03 18:00:00+00:00,10983.5,9765.783203125,1
2022-01-03 19:00:00+00:00,10274.0,9385.4716796875,1
2022-01-03 20:00:00+00:00,10143.5,9263.9541015625,1
2022-01-03 21:00:00+00:00,10155.5,9456.4326171875,1
2022-01-03 22:00:00+00:00,10167.5,9017.9130859375,1
2022-01-03 23:00:00+00:00,10716.0,7883.13818359375,1
2022-01-04 00:00:00+00:00,9346.0,7684.40380859375,1
2022-01-04 01:00:00+00:00,8680.0,7645.85400390625,1
2022-01-04 02:00:00+00:00,8231.5,7125.48583984375,1
2022-01-04 03:00:00+00:00,8489.5,8283.505859375,1
2022-01-04 04:00:00+00:00,9175.0,7784.9267578125,1
2022-01-04 05:00:00+00:00,8166.5,8369.6611328125,1
2022-01-04 06:00:00+00:00,7785.0,8145.08935546875,1
2022-01-04 07:00:00+00:00,8259.0,8269.8212890625,1
2022-01-04 08:00:00+00:00,8895.5,8054.021484375,1
2022-01-04 09:00:00+00:00,9897.0,8347.5234375,1
2022-01-04 10:00:00+00:00,10767.0,9440.953125,1
2022-01-04 11:00:00+00:00,11204.0,9677.0703125,1
2022-01-04 12:00:00+00:00,11665.0,9258.3349609375,1
2022-01-04 13:00:00+00:00,12042.5,9703.7109375,1
2022-01-04 14:00:00+00:00,11534.5,10141.515625,1
2022-01-04 15:00:00+00:00,11453.0,10781.5224609375,1
2022-01-04 16:00:00+00:00,11555.5,10801.068359375,1
2022-01-04 17:00:00+00:00,12640.5,11079.4345703125,1
2022-01-04 18:00:00+00:00,12755.5,11070.7822265625,1
2022-01-04 19:00:00+00:00,12879.5,11450.1005859375,1
2022-01-04 20:00:00+00:00,13220.5,11849.5771484375,1
2022-01-04 21:00:00+00:00,13147.5,11833.580078125,1
2022-01-04 22:00:00+00:00,13453.0,11668.302734375,1
2022-01-04 23:00:00+00:00,11342.5,11704.1943359375,1
2022-01-05 00:00:00+00:00,12572.0,11911.7626953125,1
2022-01-05 01:00:00+00:00,13267.0,11976.6943359375,1
2022-01-05 02:00:00+00:00,13651.0,12273.791015625,1
2022-01-05 03:00:00+00:00,13427.5,12060.06640625,1
2022-01-05 04:00:00+00:00,13276.0,11976.0869140625,1
2022-01-05 05:00:00+00:00,13058.5,11774.5,1
2022-01-05 06:00:00+00:00,13233.0,11441.5322265625,1
2022-01-05 07:00:00+00:00,12950.5,11276.2001953125,1
2022-01-05 08:00:00+00:00,12814.0,10971.0791015625,1
2022-01-05 09:00:00+00:00,12708.0,11066.69140625,1
2022-01-05 10:00:00+00:00,12358.5,10855.7724609375,1
2022-01-05 11:00:00+00:00,11582.5,9981.0166015625,1
2022-01-05 12:00:00+00:00,10711.0,9294.4453125,1
2022-01-05 13:00:00+00:00,9956.0,8816.232421875,1
2022-01-05 14:00:00+00:00,9121.5,8552.7001953125,1
2022-01-05 15:00:00+00:00,8637.0,8458.7900390625,1
2022-01-05 16:00:00+00:00,7552.0,7477.32861328125,1
2022-01-05 17:00:00+00:00,6845.0,7057.796875,1
2022-01-05 18:00:00+00:00,6058.0,5791.51953125,1
2022-01-05 19:00:00+00:00,5630.5,5093.3994140625,1
2022-01-05 20:00:00+00:00,5372.0,4987.38427734375,1
2022-01-05 21:00:00+00:00,5100.5,4704.6826171875,1
2022-01-05 22:00:00+00:00,4751.5,4411.662109375,1
2022-01-05 23:00:00+00:00,8240.0,4518.318359375,1
