timestamp,wind_speed_10m,wind_speed_100m,wind_gusts,wind_direction
2021-01-01 00:00:00,22.3,39.2,49.3,340
2021-01-01 01:00:00,21.3,37.5,53.3,336
2021-01-01 02:00:00,21.4,38.1,52.2,337
2021-01-01 03:00:00,20.3,36.2,52.2,338
2021-01-01 04:00:00,19.5,34.4,49.7,339
2021-01-01 05:00:00,19.3,34.5,47.5,337
2021-01-01 06:00:00,20.0,34.6,49.3,338
2021-01-01 07:00:00,19.7,34.0,48.6,339
2021-01-01 08:00:00,20.1,34.3,48.2,341
2021-01-01 09:00:00,19.3,34.3,48.6,339
2021-01-01 10:00:00,18.7,32.7,47.2,336
2021-01-01 11:00:00,19.6,32.9,47.2,335
2021-01-01 12:00:00,18.5,31.2,47.2,329
2021-01-01 13:00:00,20.7,33.9,49.0,329
2021-01-01 14:00:00,21.6,35.1,50.4,331
2021-01-01 15:00:00,20.1,34.8,52.2,332
2021-01-01 16:00:00,19.1,34.8,48.2,330
2021-01-01 17:00:00,17.8,33.4,46.4,327
2021-01-01 18:00:00,16.1,31.6,43.6,325
2021-01-01 19:00:00,16.4,31.3,40.7,325
2021-01-01 20:00:00,13.8,27.9,40.3,322
2021-01-01 21:00:00,14.5,28.6,36.4,320
2021-01-01 22:00:00,13.5,27.5,36.0,323
2021-01-01 23:00:00,12.7,26.5,33.8,323
2021-01-02 00:00:00,13.8,27.5,31.7,323
2021-01-02 01:00:00,14.0,27.6,33.5,324
2021-01-02 02:00:00,15.4,29.9,36.7,326
2021-01-02 03:00:00,17.4,31.0,41.4,327
2021-01-02 04:00:00,16.9,29.4,42.1,327
2021-01-02 05:00:00,15.5,27.5,40.7,326
2021-01-02 06:00:00,14.9,28.0,38.2,325
2021-01-02 07:00:00,15.2,29.2,37.4,330
2021-01-02 08:00:00,16.6,30.6,40.3,333
2021-01-02 09:00:00,16.3,30.6,40.7,335
2021-01-02 10:00:00,17.6,31.6,41.8,337
2021-01-02 11:00:00,18.0,30.9,43.6,335
2021-01-02 12:00:00,19.8,30.9,42.5,334
2021-01-02 13:00:00,18.4,30.0,46.1,330
2021-01-02 14:00:00,17.2,30.9,42.8,331
2021-01-02 15:00:00,17.7,30.6,42.5,339
2021-01-02 16:00:00,16.8,29.3,42.5,346
2021-01-02 17:00:00,16.4,29.1,40.3,342
2021-01-02 18:00:00,16.3,28.9,40.3,337
2021-01-02 19:00:00,16.2,29.1,39.6,342
2021-01-02 20:00:00,15.8,27.6,39.2,345
2021-01-02 21:00:00,16.1,27.9,38.9,345
2021-01-02 22:00:00,18.3,32.3,42.8,341
2021-01-02 23:00:00,18.9,34.2,45.0,340
2021-01-03 00:00:00,19.0,35.2,45.4,337
2021-01-03 01:00:00,19.8,36.6,46.4,335
2021-01-03 02:00:00,20.8,37.7,49.0,335
2021-01-03 03:00:00,20.3,36.9,49.3,333
2021-01-03 04:00:00,18.4,32.8,47.9,333
2021-01-03 05:00:00,18.7,33.6,45.7,337
2021-01-03 06:00:00,17.0,30.9,45.7,341
2021-01-03 07:00:00,15.6,29.0,41.8,340
2021-01-03 08:00:00,14.2,26.6,38.5,347
2021-01-03 09:00:00,13.8,24.5,34.9,3
2021-01-03 10:00:00,13.4,24.0,33.1,13
2021-01-03 11:00:00,13.6,24.2,33.5,23
2021-01-03 12:00:00,12.7,23.6,33.5,21
2021-01-03 13:00:00,12.1,21.9,31.3,42
2021-01-03 14:00:00,12.8,22.3,31.7,56
2021-01-03 15:00:00,12.0,21.5,31.7,52
2021-01-03 16:00:00,12.5,23.2,30.2,46
2021-01-03 17:00:00,12.8,23.9,31.0,45
2021-01-03 18:00:00,12.6,24.0,31.3,40
2021-01-03 19:00:00,12.9,24.9,31.3,39
2021-01-03 20:00:00,13.5,25.6,32.8,39
2021-01-03 21:00:00,12.9,25.1,32.8,39
2021-01-03 22:00:00,12.0,24.3,31.3,40
2021-01-03 23:00:00,12.3,24.9,30.6,39
2021-01-04 00:00:00,12.5,24.4,30.6,37
2021-01-04 01:00:00,12.4,24.0,31.0,36
2021-01-04 02:00:00,12.8,24.0,31.0,33
2021-01-04 03:00:00,12.5,23.8,31.0,29
2021-01-04 04:00:00,13.3,24.8,31.3,28
2021-01-04 05:00:00,13.7,25.3,32.4,28
2021-01-04 06:00:00,13.2,24.8,32.4,26
2021-01-04 07:00:00,12.4,23.5,31.3,23
2021-01-04 08:00:00,11.6,22.5,29.9,22
2021-01-04 09:00:00,11.2,22.3,28.1,18
2021-01-04 10:00:00,11.5,21.6,27.4,18
2021-01-04 11:00:00,11.6,20.9,27.7,19
2021-01-04 12:00:00,11.9,20.5,27.7,11
2021-01-04 13:00:00,12.2,20.5,28.1,10
2021-01-04 14:00:00,12.6,22.2,29.2,13
2021-01-04 15:00:00,11.9,23.1,29.2,14
2021-01-04 16:00:00,11.9,23.8,28.4,15
2021-01-04 17:00:00,12.5,24.3,29.2,6
2021-01-04 18:00:00,12.5,24.5,29.2,358
2021-01-04 19:00:00,12.6,24.2,29.2,356
2021-01-04 20:00:00,13.5,25.1,31.3,353
2021-01-04 21:00:00,13.6,25.7,32.0,355
2021-01-04 22:00:00,13.1,25.2,32.0,1
2021-01-04 23:00:00,13.4,25.6,31.0,2
2021-01-05 00:00:00,14.6,27.8,31.0,356
2021-01-05 01:00:00,14.2,27.5,34.2,354
2021-01-05 02:00:00,13.9,27.0,33.8,351
2021-01-05 03:00:00,13.6,26.6,33.1,347
2021-01-05 04:00:00,14.0,27.1,33.5,349
2021-01-05 05:00:00,13.9,26.7,34.9,357
2021-01-05 06:00:00,13.8,25.6,34.2,360
2021-01-05 07:00:00,12.6,23.4,33.8,10
2021-01-05 08:00:00,11.6,21.9,31.3,14
2021-01-05 09:00:00,10.7,20.3,28.8,20
2021-01-05 10:00:00,10.0,18.9,26.3,21
2021-01-05 11:00:00,9.2,16.5,25.2,20
2021-01-05 12:00:00,11.2,20.2,24.1,4
2021-01-05 13:00:00,10.1,16.8,27.4,9
2021-01-05 14:00:00,8.6,15.7,24.8,9
2021-01-05 15:00:00,7.8,16.2,21.6,1
2021-01-05 16:00:00,8.6,18.1,21.2,355
2021-01-05 17:00:00,8.4,16.9,21.2,360
2021-01-05 18:00:00,8.6,17.3,21.2,4
2021-01-05 19:00:00,8.4,16.9,21.6,360
2021-01-05 20:00:00,7.3,15.5,20.5,356
2021-01-05 21:00:00,6.2,13.4,18.4,355
2021-01-05 22:00:00,5.8,12.3,15.8,3
2021-01-05 23:00:00,6.5,11.5,14.8,14
2021-01-06 00:00:00,7.6,14.0,14.8,360
2021-01-06 01:00:00,7.7,13.0,18.0,357
2021-01-06 02:00:00,7.9,13.4,18.0,352
2021-01-06 03:00:00,8.3,14.1,18.7,347
2021-01-06 04:00:00,8.6,15.1,19.1,348
2021-01-06 05:00:00,8.0,14.5,19.4,353
2021-01-06 06:00:00,6.4,10.4,18.0,360
2021-01-06 07:00:00,4.1,6.3,14.4,13
2021-01-06 08:00:00,3.3,3.8,10.8,343
2021-01-06 09:00:00,2.1,1.9,9.7,292
2021-01-06 10:00:00,4.0,4.3,10.1,222
2021-01-06 11:00:00,6.4,8.8,13.7,235
2021-01-06 12:00:00,6.5,10.9,14.0,264
