timestamp,ghi,dni,cloud_cover,temperature
2025-12-29 08:00:00,0.0,0.0,56.72816168884422,3.0178992090156345
2025-12-29 09:00:00,11.242589349488108,36.512007830480684,67.68673632972673,3.3894871564244338
2025-12-29 10:00:00,63.39174942461839,182.19774492738287,67.0506452210259,4.560009841009497
2025-12-29 11:00:00,113.64584005714136,224.0022627972805,70.13261553927144,5.346053913917622
2025-12-29 12:00:00,137.86121425359116,241.52366392423485,68.90729345784503,5.117660061903124
2025-12-29 13:00:00,135.59572603899366,208.4082111055263,69.62262268193963,5.381181132774265
2025-12-29 14:00:00,109.64423586677601,163.24050908706116,77.96609296050369,5.462579614295918
2025-12-29 15:00:00,67.91388587603504,121.59042850718234,88.85514668924102,5.230613475833974
2025-12-29 16:00:00,19.715945080817967,55.79755572603899,95.3366344805693,4.717505357001137
2025-12-29 17:00:00,0.0,0.0,95.09948414063119,4.60366656966747
2025-12-29 18:00:00,0.0,0.0,95.44944948546333,4.562875056215444
2025-12-29 19:00:00,0.0,0.0,99.1366609348959,4.745284093013412
2025-12-29 20:00:00,0.0,0.0,98.22255178434435,4.866948281791488
2025-12-29 21:00:00,0.0,0.0,99.63110817174149,4.985458056665167
2025-12-29 22:00:00,0.0,0.0,99.87633237215947,4.920660617443984
2025-12-29 23:00:00,0.0,0.0,99.35643289860056,5.038010105552764
2025-12-30 00:00:00,0.0,0.0,99.96909711383296,4.773296367820957
2025-12-30 01:00:00,0.0,0.0,90.59424248035766,4.768075447739479
2025-12-30 02:00:00,0.0,0.0,99.75266474431895,4.54550705007804
2025-12-30 03:00:00,0.0,0.0,97.35389434141953,4.605606941615302
2025-12-30 04:00:00,0.0,0.0,85.79051559482554,4.572959233882702
2025-12-30 05:00:00,0.0,0.0,99.12142853363667,4.493784820507393
2025-12-30 06:00:00,0.0,0.0,100.0,3.7250199730165865
2025-12-30 07:00:00,0.0,0.0,98.90152006560673,3.6602477183143303
2025-12-30 08:00:00,0.0,0.0,96.16615539271447,3.5739244993518686
2025-12-30 09:00:00,7.313279542869237,7.712495648263274,79.65819634401207,3.641787042670829
2025-12-30 10:00:00,46.69947144255443,54.41110901827992,78.45696780508452,4.144922197825455
2025-12-30 11:00:00,102.1062860770879,152.70719959789426,82.7474871035158,4.545056374169996
2025-12-30 12:00:00,125.4859183619481,121.02342752837228,75.87775878945001,5.228273643554404
2025-12-30 13:00:00,147.78597603238012,264.45278590513476,70.33416682098358,5.429300706330522
2025-12-30 14:00:00,133.0590323007328,282.2309354778974,61.09026110420359,5.315016851406048
2025-12-30 15:00:00,81.17497420703155,210.3148180206873,72.10147244781884,4.990224597232878
2025-12-30 16:00:00,26.353710219306368,116.38207052723475,91.41211502341208,3.875490172217667
2025-12-30 17:00:00,0.0,0.0,60.70484167085527,3.137509166424169
2025-12-30 18:00:00,0.0,0.0,62.932789079653986,2.0039387317795825
